label,entry
other_riot,谕、本日据伊龄阿奏、窦光鼐在平阳城隍庙。多备刑具。传集该县书吏。追究原任知县黄梅款迹。生监平民人等。一概命坐。千百成群。纷纷嘈杂。及由平阳回省。携带多人。坐船由溪河昼夜行走。以致水手落河淹毙。抵省时。称黄梅款迹。不是丁忧演戏。乃另有呈控之案。哓哓执辩。并有不欲做官、不要性命之言、等语。此事之始。朕因窦光鼐为该省学政。适该省有亏空之案。因令就所见闻陈奏。此朕明目达聪。兼听并观之意耳。即使所言不实。亦祇系风闻入奏。断不以此遽加之罪也。今伊所称黄梅丁忧演戏等款。皆节外生枝。况业经阿桂等、审系窦光鼐误听虚诬。朕亦并未加之谴责。窦光鼐当知感激朕恩。安静供职。仍现届宾兴大典多士在省城守候录科。伊竟亲赴平阳。咆哮生事而置目前录科之事于不办。是以将伊革职。此窦光鼐自贻伊戚。其罪并不在乎言事不实也。兹复据伊龄阿奏、窦光鼐回省时。携带丁忧典史。及生监等多人。以为质证。且言不欲做官。不要性命等语。看来窦光鼐竟系病疯。是以举动颠狂若此。伊于黄梅丁忧演戏一节。始则误听人言。欲以忤逆不孝之事。污人名节。今赴平阳访查此事属虚。复言黄梅任内。另有别项款迹。以实其说。如此乖张瞀乱。不但有乖大臣之体。且恐煽惑人心。致启生监平民人等。讦告官长。效尤滋事之风。不可不严行惩儆。仅予革职。不足蔽辜。窦光鼐著拏交刑部治罪。
other_riot,辛丑。谕军机大臣等、电寄唐景崧、叠次电奏均悉。本日据电称乱民抢劫、砍毙中军方元良、枪毙平民十余人等语。
other_riot,又谕、有人奏、浙西客民恃众滋事请豫筹安辑以弭衅端一摺。据称浙西乱定之后。田多荒芜。大吏设法招垦。各县设有客民保甲委员。每乡造有户册。定章非不周密。积久视为具文。任意流徙。莫可稽查。二十年来。党类愈众。鱼肉土著。习为故常。又有捕鱼放鸭等船。与客民同为一类。种种不法。层见叠出。客民所垦之田。从未清丈升科。编入额徵。与土民同完赋税。且客民按亩抽派。集有公费。委员利其财贿。土客争讼之案。每至经岁不结。土民控诉无门。亦将铤而走险等语。浙西客民。著籍已久。该地方官果能绥集得宜。何至土客寻仇。积成隐患。著廖寿丰妥定安集客民章程。责成各州县实力筹办。遇有土客之案。务须办理持平。不准稍涉偏袒。另片奏、归安县徵收钱漕。差役勒索陋规各节。并著廖寿丰确切查明。如有前项弊端。即行一律禁革。以苏民困原摺片均著钞给阅看。将此谕令知之。现月
other_riot,顺天学政右通政钱陈群题、明季唐县生员陈瑞妻贾氏。于顺治元年三月内。遭闯贼所获。逼污不从。为贼众乱刃剌死。应请旌表。下部议行。
other_riot,丙子谕内阁丁振铎奏、特倢■＜⿱曰融＞■＜⿱石木＞庸劣不职各员一摺云南补用道卢国熙、招摇撞骗有玷官箴。署蒙自县恩安县知县孙家祥、轻率发难。贻害地方卸署新平县补用知县朱寿祺纵丁索贿。押毙无辜署可渡巡检骆怀祖、狡猾嗜利。鱼肉地方威远知事施以恩、纵子妄为。致招物议署曲江巡检补用州吏目戴寿铭、反覆离奇故纵匪犯。均著即行革职。普洱府知府韦勋承、文义欠通难资表率著开缺以同知归部用。署通海县文山县知县蓝荣畴遇案科罚虽未入己。究属违例著开缺留省察看。又奏武职各员营私玩法据实纠倢■＜⿱曰融＞■＜⿱石木＞等语。贵州古州镇总兵李昌麟、纵容子弟。屡滋事端云南昭通镇总兵何雄辉、便利是图。罔知职守著一并开缺。记名提督署临元镇总兵张梁、于所属游击陆鸣皋通匪酿乱漫无觉察著以参将降补。补用副将梁士伟、挟贼为重反覆离奇刘萃纵子为恶扰害乡闾。游击钱之福横恣颟顸不明事理补用都司李云生弁勇被控匿不交案署元新营守备刘纲营伍废弛贵州遵义协守备马锡蕃贪劣著闻安义镇右营守备徐文炳、缉捕不力擅放要匪均著一并革职以示惩儆。现月
other_riot,又谕、前据兆惠富德奏称、俄罗斯头目玛玉尔告称、有步行二人、至伊七伦图拉。自言我系阿睦尔撒纳。速渡我过河。及差人迎渡。并未回来。顺流寻找。止外渡口小船。泊于河湾。并无阿睦尔撒纳、及迎渡之俄罗斯。必俱溺死水中等语。朕彼时即不以为然。当经降旨兆惠、谓溺死之语不可信。阿睦尔撒纳、奸诡狡诈。非俄罗斯为所蛊惑。背约私留。即阿睦尔撒纳、设为溺死之说。冀图缓我追兵。以便潜窜他往。顺德讷等、轻信传言。沿河打捞。此其粗率糊涂。断乎不可。详悉传谕兆惠等矣。今据奏到、行至森博罗特卡座。所遇诸人。详细询问真迹。始据奏称。渡河溺死。事属子虚。果不出朕之所料。然则顺德讷等、率领官兵。在额尔齐斯河。寻觅十余日之久。如此举动。岂不为俄罗斯所笑乎。准噶尔地方既已平定。反覆背叛之诸厄鲁特。或经擒捕正法。或因患病身死。惟逆贼阿睦尔撒纳、实为悖逆之渠魁。既不迅为弋获。又未即伏冥诛。坐使其视息偷生。游魂远窜。将来必不能久甘穷困。势必滋生事端。为患边境。是逆贼一日不获。西路之事、一日不能告竣。揆之事理。实有不能中止之势也。但目今时届寒冬。士马亦宜休息。兆惠、富德、及顺德讷等、俱已有旨令其暂回军营。一面令理藩院、行文俄罗斯萨纳特衙门。令其将逆贼阿睦尔撒纳、即行送出。俄罗斯乃我朝与国。素称和好。从前议定、彼此不许容留逃人。即前年平定伊犁时。俄罗斯逋逃在彼者。俱经送还。若果逆贼在伊境内。遵谕缚献。以全信义。则渠魁就获。准噶尔一事。便可从此奏功。设因阿睦尔撒纳之摇尾乞怜。遂至受其愚弄。为之窝藏隐匿。又或别有他意。其应如何索取之处。另行相机筹办。候旨遵行。朕非穷兵黩武。特以事势所迫。不得不然。在军营诸臣、心存怯懦。未尝不欲借渡河溺死一语。遂图草草收局。而外省诸提镇、不识事机。方且飞章奏贺。朕既为之一笑。且深叹任事之无人也。可将此通行晓谕知之。
other_riot,丙戌。谕、据魁伦等奏、伊辙布平日仓库账目。颠到错谬。惟劣幕吴义添一人之言是听。现将该犯侦缉到案。讯据供称、贪恋朿修。朦混作弊。应将吴义添在省城枷号三个月。发往厄鲁特为奴。仍将该犯家产。抄没入官等语。此等劣幕。于钱谷既不谙习。辄因贪恋修金。办理公务。颠倒错乱作弊。以致本官身罹重罪。而幕布转得坐拥厚赀。置身事外。甚属可恶。今魁伦等将吴义添查出究办。不致漏网。办理甚是。因念其究由伊辙布贪黩不法。该犯祇系听从作弊。尚无关涉人命之事。业经魁伦等将该犯枷号。满日发往厄鲁特为奴。抄没家产。已足蔽辜示惩。若有人命等事。必将该犯正法。其罪尚不止于远戍。但此等幕友滋事。各省俱所不免。著各督抚通行传知各衙门幕友。嗣后务宜小心安分。如再有朦混作弊。甚至酿成人命者。必当立正典刑。不能如吴义添之幸邀末减也。又据魁伦等奏、查抄钱爱椿任所衣物一摺。内称、提讯家人书役等、佥供并无寄顿。似属可信等语。外省长随书役。往往倚恃本官声势。吓诈讹索。虽讯无隐匿情弊。其平日亦必非安分之徒。所有钱受椿案内长随范三吉、书役蒋开浚等。均著枷号三个月。满日分别革役递籍。以示惩儆。
other_riot,又谕、电寄瑞澂电奏悉。昨已有旨派杨文鼎暂署湖南巡抚。驰往该省。严拏乱徒。一切善后事宜。会同该署督妥速筹画。并将办理不善各官。查明倢■＜?曰融＞■＜?石木＞办。现在大局虽已少定。著仍遵前旨。严拏首要。解散胁从。所有办理不善之开缺巡抚岑春蓂。及该管地方文武各官。均著会同认真查办善后事宜。尤须妥慎筹画。以靖地方。至东西各国官商教士。务饬妥为保护。以免疏虞。电寄
other_riot,又谕、前据沈葆桢奏、道员周汝筠禀讦知县石昌猷袒匪杀良。请派大员审办。当经降旨交曾国藩提审。兹据曾国藩审明定拟具奏。此案江西前署南康县知县升任督粮道周汝筠、因在署县任内。奉文办理防剿事务。借捐助饷。任用许高鸿、杨韶九等、遂令倚势勒捐罚产。偪毙多命。并有诬人为匪各情。屡次经人控告。周汝筠皆为曲庇。致招物议。该员卸任后。经前任江西布政使李桓。属令后任南康县知县石昌猷。将周汝筠劣迹详查。而石昌猷刻意□□穴□又□求。诬列多款。以重其罪。于拏办许高鸿杨韶九时。并将许高鸿之父许观国获案。偪令呈送忤逆。将许高鸿正法枭示。任听勇丁残毁尸骸。又不释放其父。复查拏其母。捕其家属。追取田产充公。直以叛逆治之。至张书火□学杨韶九寻仇互控。两相抢夺。与此案本不相涉。因许高鸿被杀后。杨韶九往愬周汝筠。该员遂并为一案。指张书火□学为匪。即以石昌猷袒匪杀良具禀。现经审明许高鸿平日倚势害命。藉局吞财。业经正法。著无庸议。石昌猷于此案并不悉心研鞫。按律惩办。仍偪令许高鸿之父呈送忤逆。加以极刑。又复株连籍没致有罪之诛转同枉杀。意存倾陷审办矫诬业经革职。著发往新疆充当若差。遇赦永远不准援免。周汝筠虽无擅杀人犯受赃侵饷情事。而偏信小人。勒捐滥罚。殃及无辜罪有应得。惟念该员前此办团剿贼。保障江西南路曾著功绩。著从宽拔去花翎。革去历保道员知府等官。以知县降补。革生杨韶九因与张书火□学积有嫌隙。屡行陷害抢扰并禀请查拏张书火□学父子。株累张姓多人。实属非常倾险。著发极边足四千里充军。到配折责安置。张书火□学于查拏杨韶九之际。意存报复。乘便抢夺杨姓多家。亦属有干法律。业已身死。著无庸议。沈葆桢办理此案。虽意在急于除恶。惟因石昌猷呈首忤逆一言。率令回县速办。致石昌猷得将许高鸿一犯专杀。非寻常疏忽可比。李桓因闻周汝筠苛政病民。密令石昌猷详查禀复。固是正办。惟于石昌猷覆禀周汝筠得受典商赃银等款。概置不问。辙将不应立决之忤逆一款。草率定案。并函令石昌猷于请将许高鸿正法之禀删去奉某劄谕等字句。不必具禀总督等语。措置未能正大。实属不合。沈葆桢、李桓著交部分别议处。寻议、沈葆桢降二级留任。准其抵销。李桓降三级调用。不准抵销。从之。
other_riot,辛丑。幽系和硕肃亲王豪格先是、豪格出征四川已及二载。地方全未平定。地方官亦未有以投诚平定入奏者又击败流贼张献忠遣学士苏纳海启奏时有护军统领哈宁噶于众人会集处言曰若非护军统领阿尔津苏拜相助则我等皆失利矣希尔艮在后夺前进之阿尔津苏拜功王将其冒功事竟未议结次日阿尔津苏拜跪求议王亦未议尚书谭拜请议王又未议且将谭拜请议事云无之又欲将罪人杨善弟机赛补护军统领启奏于是诸王贝勒贝子大臣会议以肃亲王将希尔艮冒功事隐蔽。旧念未除。因杨善为伊而死欲升其弟乱念不忘奉有以罪人杨善弟机赛。为护军统领不合之上□日宥王之罪、至于三次戒饬。犹不引咎。诸王贝勒人人愤怒。如此怙恶不悛讐抗不已不可复留豪格应拟死得上□日、如此处分诚为不忍。不准行诸王内大臣复屡奏言太祖长子亦曾似此悖乱置于国法乃从众议免肃亲王死幽系之。夺其所属人员幽系后肃亲王谓阿济格尼堪苏拜云将我释放则已如不释放毋谓我系恋诸子也。我将诸子必以石掷杀之。
